Facility,MP Name,Source Type,Current Use Five Year Average (MGY),Enddate,Latitude,Longitude
WAVERLY SERVICE AREA,WELL #2,Well,4.00,2016,37.03333333,-77.09472222
COURSEY SPRING FISHERIES,COURSEY SPRING,Surface Water Intake,4392.08,2016,38.18055556,-79.57777778
EAGLE HAVEN GOLF COURSE,GOLF COURSE WELL,Well,0.00,2016,36.92083333,-76.15
LINVILLE PLANT,WELL #1,Well,1.45,2016,38.53527778,-78.83333333
DUTCH ROAD FARMS,DUG POND 1,Surface Water Intake,0.00,2016,36.67861111,-76.74833333
Henely Farm,HENLEY FARM POND,Surface Water Intake,0.00,2016,36.6975,-75.99194444
Henely Farm,BROWN FARM WELL #1,Well,0.00,2016,36.69472222,-75.99194444
LOVINGSTON SERVICE AREA,WELL NC #3 - STATE SHED WELL,Well,1.56,2016,37.72527778,-78.85388889
Emulsion Plant,WELL #1,Well,0.00,2016,37.27138889,-79.98666667
STONY CREEK SERVICE AREA,WELL #8,Well,0.00,2016,36.94377778,-77.40013889
WILLIAMSBURG PLANT,WELL #3,Well,0.47,2016,37.18722222,-76.61694444
RICKS AND VANS,RAPPAHANNOCK RIVER,Surface Water Intake,0.00,2016,0.1,0
MARSHALL/JOHNSON FARM,WELL #3,Well,2.59,2016,37.53916667,-75.89472222
ANDRE VIETTE FARM AND NURSERY,WELL - FIELD  (795 OLD WALNUT),Well,0.51,2016,38.12332358,-78.94449617
BRICKHOUSE FARM,DUG POND #2,Well,0.00,2015,0.1,0
CHRISTIAN/AMES FARM,MIGRANT LABOR CAMP WELL AF2-7,Well,0.05,2016,37.599224,-75.810734
MARSHALL/JOHNSON FARM,WELL #2,Well,6.83,2016,37.53833333,-75.89611111
REGIONAL LANDFILL,WELL #1,Well,0.01,2015,36.75472222,-76.52083333
"Household, Barn and Lawn",Well#VI,Well,0.00,2015,99,-99
MARSHALL/JOHNSON FARM,WELL #1,Well,2.45,2016,37.53555556,-75.88055556
Marshall-Johnson-Grapeland Complex,DUG POND #1,Well,10.67,2016,37.60166667,-75.82611111
CHRISTIAN/AMES FARM,CAMP WELL 3901112,Well,0.00,2016,37.59861111,-75.81111111
Marshall-Johnson-Grapeland Complex,WELL #1,Well,8.13,2014,37.601944,-75.826389
MACHIPONGO FARM,DUG POND #1,Well,0.00,2016,37.40555556,-75.88583333
CHRISTIAN/AMES FARM,MIGRANT LABOR CAMP WELL AF2-5,Well,0.04,2016,37.599771,-75.810667
MELFA FARM,WELL  #2,Well,5.82,2016,37.64361111,-75.72
CHRISTIAN/AMES FARM,CAMP WELL 3805560,Well,0.07,2016,37.60083333,-75.81083333
CHRISTIAN/AMES FARM,WELL  #2,Well,0.91,2016,37.60527778,-75.80361111
CHRISTIAN/AMES FARM,WELL  #1,Well,0.00,2016,37.60416667,-75.80083333
CHRISTIAN/AMES FARM,MIGRANT LABOR CAMP WELL AF2-9,Well,0.05,2016,37.598685,-75.810796
MELFA FARM,WELL  #3,Well,0.00,2016,37.64444444,-75.7225
GRAPELAND FARM,WELL  #2,Well,2.27,2016,37.54111111,-75.88388889
Tasley Farm,Tasley Pond 3,Surface Water Intake,0.00,2016,37.715705,-75.71683
Bedford Central Water Treatment Plant,,Surface Water Intake,0.00,2016,37.38805556,-79.56027778
Bedford Central Water Treatment Plant,WELL #2,Well,0.00,2016,37.38972222,-79.555
CHRISTIAN/AMES FARM,MIGRANT LABOR CAMP WELL AF2-1,Well,0.00,2016,37.600864,-75.810534
Custis Farm,DUG POND #1,Well,10.66,2016,37.64388889,-75.71972222
LOUISA-MINERAL SERVICE AREA,ZION CROSSROADS WELL #2,Well,0.02,2016,37.97416667,-78.19888889
EARLYSVILLE PLANT,WELL #2  GW RECOVERY,Well,0.00,2016,38.13972222,-78.49416667
BURGESS SERVICE AREA,WELL #2A,Well,1.46,2015,37.89,-76.34972222
BLACKWATER RIVER WTP,BLACKWATER RIVER,Surface Water Intake,299.91,2016,37.04805556,-79.88472222
LOUISA-MINERAL SERVICE AREA,GREEN SPRINGS WELL #1,Well,3.53,2016,38.00916667,-78.19083333
EARLYSVILLE PLANT,WELL #2D  GW RECOVERY,Well,1.55,2016,38.14305556,-78.49194444
RAPHINE PLANT,WELL A,Well,0.00,2016,37.95666667,-79.17638889
BURKEVILLE SERVICE AREA,WELL #3,Well,0.00,2016,37.19305556,-78.21472222
CORROTOMAN SERVICE AREA,WELL #24   STORAGE TANK,Well,1.92,2016,37.73166667,-76.51944444
PRIMLAND RESORT, POND #4,Surface Water Intake,17.40,2016,36.64916667,-80.39583333
"Brookmeade Sod Farm, Inc. ",S ANNA PUMP SITE 4 FIELD 7 F1,Surface Water Intake,0.48,2016,37.80027778,-77.54777778
FRANKLIN MILL,WELL #17,Well,0.20,2016,36.73527778,-76.90555556
CATLETT SYSTEM,CATLETT WELL #1,Well,3.09,2016,38.65111111,-77.63555556
GLEBE POINT SERVICE AREA,WELL 1A,Well,1.34,2016,37.85833333,-76.3625
NEW BALTIMORE REGIONAL,MOSBY WOODS WELL,Well,0.00,2016,38.7475,-77.73444444
ROBERT I MAPP,DUG POND    PUCK MAPP FARM,Well,0.00,2016,0.1,0
MICHEAL N PALMER,POND       6 AC TOBACCO,Surface Water Intake,0.00,2016,36.90611111,-79.64777778
LOWER BROAD RUN SERVICE AREA,GOOSE CREEK RESERVOIR,Surface Water Intake,2476.62,2016,39.05611111,-77.52638889
NEW BALTIMORE REGIONAL,CEDAR RUN II WELL,Well,7.00,2016,38.73388889,-77.76722222
GLEN WILTON ,WELL #2,Well,0.45,2016,37.75944444,-79.82972222
THE PLAINS SERVICE AREA,LEE STREET WELL,Well,3.36,2016,38.86388889,-77.78333333
"Household, Barn and Lawn",Well V (Near Mt Olive Rd & Kellog Mill),Well,0.00,2015,99,-99
CAVE VIEW FARMS INC,NORTH RIVER,Surface Water Intake,142.10,2016,38.2953,-78.8767
LOVINGSTON SERVICE AREA,WELL NC #2 - PAYNE,Well,3.76,2016,37.74,-78.87083333
MEADOW STREAM FARM,COOKS CREEK,Surface Water Intake,0.90,2016,38.40861111,-78.93944444
RAY NEWMAN,OAK GROVE FARM POND,Surface Water Intake,0.00,2016,0.1,0
INDEPENDENT WELLS,AUBURN CROSSING WELL,Well,2.68,2016,38.69944444,-77.71722222
PRINCE WILLIAM PUBLIC GOLF COURSE,2.5 ACRE POND (#18),Surface Water Intake,0.00,2016,38.74944444,-77.62861111
Brink Concentrator Site System,SF-38,Well,4.20,2016,37,77
Christchurch School,WELL,Well,2.91,2016,37.6125,-76.54805556
HORSESHOE FARM,PAMUNKEY RIVER LH 24   P-2,Surface Water Intake,13.28,2016,0.1,0
STRASBURG PLANT,SHENANDOAH QUARRY,Surface Water Intake,15.98,2016,39.016055,-78.327515
EAGLE TREE,PeeDee Creek #2 GOULDMAN,Surface Water Intake,28.63,2016,38.11722222,-76.96916667
LAKE WILDERNESS SERVICE AREA,WELL #4A,Well,18.82,2016,0.1,0
SUNSET VIEW FARM,BLACKWATER RIVER,Surface Water Intake,43.00,2016,0.1,0
"HOMESTEAD, THE",CASCADES CREEK LWR CASCADES GC,Surface Water Intake,0.00,2016,37.955,-79.87027778
LAWRENCE HOBBS,FARM POND,Surface Water Intake,0.00,2016,0.1,0
DALECARLIA WTP,POTOMAC RIVER - LITTLE FALLS,Surface Water Intake,1128.71,2016,38.5658,-77.074
Mappsville North Complex,WELL #1,Well,2.29,2016,37.615278,-75.806944
Wilkins Brothers Dairy LLC,SMITH CREEK,Surface Water Intake,1.00,2016,38.70944444,-78.64388889
JARRATT WTP,NOTTOWAY RIVER,Surface Water Intake,302.10,2016,36.83944444,-77.47361111
RAY CLARKE,FARM POND 2,Surface Water Intake,0.00,2016,36.92723,-77.57142
5103,SOUTH ANNA RIVER,Surface Water Intake,11.53,2016,37.801111,-77.437222
RIVER ROAD FARM,BLACKWATER R   RIVER RD FARM,Surface Water Intake,15.14,2016,0.1,0
RENWOOD FARMS INC,JAMES RIVER  44 AC   R5,Surface Water Intake,12.07,2016,0.1,0
Shimokin Farm  R. Randolph & Sons,Pamunkey R NBI 70 acre,Surface Water Intake,7.38,2016,37.6,-77.1
GOLDEN EAGLE GOLF COURSE,LAKE IRVINGTON,Surface Water Intake,30.74,2016,37.68194444,-76.39833333
EAGLE TREE,PeeDee #4 FLATS old,Surface Water Intake,36.64,2016,38.11333333,-76.96166667
"SAUNDERS BROTHERS, INC.",TYE RIVER,Surface Water Intake,65.73,2016,37.71916667,-78.97222222
CLIFTON FORGE WTP,SMITH CREEK RESERVOIR,Surface Water Intake,354.16,2016,37.84916667,-79.83888889
ACCOMAC  PLANT,WELL #5,Well,53.01,2016,37.74027778,-75.65916667
"SAUNDERS BROTHERS, INC.",ALLEN CREEK A - Embly's Gap Creek,Surface Water Intake,19.43,2016,37.73972222,-79.02694444
BASS FARMS,DOROTHY'S POND,Surface Water Intake,3.21,2016,0.1,0
J L WALKER,FARM POND 4,Surface Water Intake,0.00,2016,0.1,0
PLANK ROAD FARM,Nottoway River,Surface Water Intake,0.00,2016,36.79461903,-77.16047458
"Household, Barn and Lawn",Well #4 north of wetlands,Well,0.00,2015,99,-99
JACKIE CHAPPELL,POND,Surface Water Intake,0.00,2016,36.76666667,-79.05944444
Bull Farm aka Evans Oaks Farm,POND,Surface Water Intake,19.28,2016,37.69583333,-75.6525
MOORE AND DORSEY INC,JOHNSON WELL #1,Well,14.91,2016,39.16494046,-77.93251919
CHANTILLY TURF FARMS INC,?,Well,0.00,2015,38.94972222,-77.52666667
NORTH LAKES SERVICE AREA,NORTH LAKES WELL #6,Well,0.00,2016,37.32694444,-80.00638889
WINDY GAP SERVICE AREA,WELL #4,Well,0.00,2016,37.18388889,-79.8875
BLUE RIDGE HGHTS SERVICE AREA,WELL #1,Well,0.00,2016,37.38833333,-79.80666667
LAKEWOOD FOREST SERVICE AREA,WELL #23,Well,0.00,2016,36.63333333,-79.95805556
LAKEWOOD FOREST SERVICE AREA,WELL #6,Well,0.00,2016,36.61944444,-79.96527778
ELIZABETH MANOR GOLF CLUB,WELL 220-046,Well,0.00,2012,36.81583333,-76.39361111
LAKE PRINCE RESERVOIR,WELL #4,Well,2.92,2016,36.80277778,-76.65583333
Pooles Mobile Home Park,Well #1 (Flowerdew),Well,0.22,2016,37.10144444,-76.70094444
LANCASTER CH SERVICE AREA,WELL #2,Well,0.50,2015,37.77055556,-76.46583333
DONALD L MOORE,FARM POND 1 / A.R. Pond,Surface Water Intake,0.00,2016,0.1,0
CONCORD CONCENTRATOR SITE,COLLEGE ROAD WELL,Well,0.59,2016,36.5309,-77.3425
COVINGTON PLANT WestRock,JACKSON RIVER (FIREWATER #2),Surface Water Intake,0.00,2016,37.80333333,-79.99805556
CAPTAINS COVE SERVICE AREA,WELL 100-1072,Well,0.00,2016,37.98638889,-75.42444444
SPRUANCE PLANT,50 REMEDIATION WELLS,Well,46.47,2016,37.450612,-77.436161
CONCORD CONCENTRATOR SITE,CONCORD WELL FIELD WS-16,Well,6.81,2016,36.5226,-77.3429
CHARLOTTE CT HSE SERVICE AREA,WELL #4,Well,1.60,2016,37.05138889,-78.65083333
CHASE CITY SERVICE AREA,WELL #7,Well,0.00,2016,36.79555556,-78.46722222
HICKORY CONCENTRATOR SITE,EVERETT WELL,Well,0.00,2016,36.5426,-77.3428
REGIONAL LANDFILL,SUMP 4,Well,0.00,2015,36.75805556,-76.51944444
KEMPSVILLE GREENS GOLF COURSE,TW1,Well,0.83,2016,36.82361111,-76.13944444
JAMES CITY SERVICE AREA,LIBERTY RIDGE SUBDIVISION,Well,0.12,2016,0.1,0
VIRGILINA SERVICE AREA,WELL #5,Well,1.30,2016,36.54361111,-78.77027778
OWL'S CREEK GOLF COURSE,COURSE LAKE,Surface Water Intake,3.59,2016,36.82777778,-75.99861111
FORDS COLONY AT WILLIAMSBURG,Blue Heron Pond,Surface Water Intake,11.35,2016,37.291736,-76.773447
FORDS COLONY AT WILLIAMSBURG,Marsh Hawk Pond,Surface Water Intake,11.50,2016,37.304786,-76.773194
KEYSVILLE WTP,KEYSVILLE RESERVOIR,Surface Water Intake,25.12,2016,37.05709457,-78.50195313
Farm Ponds,HARPER FARM,Surface Water Intake,0.15,2016,0.1,0
GEORGIA-PACIFIC BIG ISLAND WTP,JAMES RIVER,Surface Water Intake,5188.48,2016,37.53583333,-79.35805556
Duer Home Farm,WELL #2,Well,0.00,2014,0.1,0
SYDNOR - small well systems,DELTAVILLE MARINA WELL #1,Well,0.00,2016,0.1,0
Duer Home Farm,WELL #4,Well,0.00,2014,0.1,0
F.A. HOLLAND & SONS,FARM POND,Surface Water Intake,2.29,2016,0.1,0
Hermitage Farms Nursery,BRANCH POND,Surface Water Intake,17.87,2016,37.47361111,-75.88055556
BELVEDERE PLANTATION,RAPPAHANNOCK R DRIP PUMP,Surface Water Intake,0.00,2016,38.24472222,-77.385
MONTAGUE FARMS INC,FARM POND,Surface Water Intake,0.00,2016,37.75638889,-76.74638889
SEVEN SPRINGS FARMS INC,FARM POND 4 #3858,Surface Water Intake,0.50,2016,0.1,0
CHARLTON B STRANGE JR,DAN RIVER,Surface Water Intake,0.00,2016,36.57833333,-79.49277778
EASTERN SHORE AREC,PUBLIC LAKE,Surface Water Intake,1.32,2016,37.58361111,-75.81777778
KINGS GREAT FARMS INC,FARM POND #2     (120 ACRE),Surface Water Intake,0.00,2016,0.1,0
TUCKS FARMS,FARM POND???,Surface Water Intake,0.00,2016,0.1,0
Van Kesteren Farms Incorporated,EICHELBERGER FARM POND,Surface Water Intake,0.70,2016,99,-99
PIERCE FARM,MEHERRIN R INTAKE #1,Surface Water Intake,1.80,2016,36.53277778,-77.40083333
GORDON BROTHERS ENTERPRISES,FARM POND 3,Surface Water Intake,0.00,2016,0.1,0
SONNY ACRE FARM,MANURE LAGOON,Surface Water Intake,0.00,2016,0.1,0
FLORA DAIRY,BLACKWATER RIVER,Surface Water Intake,0.00,2016,37.040572,-79.954524
BELAIRE FARM,FARM POND,Surface Water Intake,0.00,2016,37.56277778,-76.38027778
RIDGEWAY FARM LLC,FARM POND,Surface Water Intake,0.00,2016,36.97972222,-78.78277778
CREEK RUN FARM,CALF PASTURE RIVER,Surface Water Intake,0.00,2016,38.17513354,-79.39263843
GLENWOOD,TODDSBERRY POND,Surface Water Intake,55.56,2016,37.81638889,-77.10833333
L & G FARMS,FARM POND 1,Surface Water Intake,0.00,2016,0.1,0
ENFIELD SOD - ENFIELD FARM,MATTAPONI RIVER BESIDE BRIDGE,Surface Water Intake,6.42,2016,37.72194444,-77.02527778
AUBREY H LEWIS,POND,Surface Water Intake,0.00,2016,0.1,0
JOE B ANDES,MIDDLE RIVER,Surface Water Intake,0.00,2016,38.21528,-78.975332
Cypress Point Country Club,RETENTION POND,Surface Water Intake,9.44,2016,36.88111111,-76.16111111
Peach Orchard,PEACH ORCHARD FARM POND,Surface Water Intake,0.00,2016,37.71166667,-75.66083333
XSCAPES LANDSCAPE NURSERY,FARM POND #1,Surface Water Intake,0.00,2016,0.1,0
Van Kesteren Farms Incorporated,MARY RUE FARM POND,Surface Water Intake,4.20,2016,99,-99
KINGS GREAT FARMS INC,FARM POND,Surface Water Intake,0.00,2016,0.1,0
TICONDEROGA FARMS,FARM POND - 7 WINDS,Surface Water Intake,0.00,2016,0.1,0
THOMAS SCOTT,GRAVELLY RUN,Surface Water Intake,0.00,2016,37.12032,-77.51317
FARM POND,FARM POND,Surface Water Intake,0.00,2016,36.6525,-78.86777778
RIDGEWAY FARM LLC,STAUNTON RIVER ABOVE CUB RUN,Surface Water Intake,3.40,2016,36.98111111,-78.775
EJ Johnson  Farm,POND,Surface Water Intake,0.00,2016,37.743627,-75.615746
Cavalier Golf and Yacht Club,IRRIGATION LAKE,Surface Water Intake,0.00,2016,36.85777778,-75.99361111
CAROLINE PINES,WELL #10,Well,8.38,2012,37.89805556,-77.43972222
KIRBY FARMS LLC,PAMUNKEY R - 140 A  VEGETABLES,Surface Water Intake,70.99,2016,37.6875,-77.22333333
HARD ACRES FARM,NORTH BUCKSKIN CREEK,Surface Water Intake,0.00,2016,37.621667,-78.074722
Center Pivot Irrigation,NORTH FORK SHENANDOAH RIVER,Surface Water Intake,0.00,2016,38.63388889,-78.76194444
RIVERSIDE FARM,PAMUNKEY RIVER - R7,Surface Water Intake,6.38,2016,37.70305556,-77.23833333
JOSEPH L SEAMSTER,FARM POND,Surface Water Intake,0.00,2016,0.1,0
JESSE  HERSHBERGER,CHRISTIANS CREEK,Surface Water Intake,4.61,2016,38.06535,-79.06464
Lancaster Farms Incorporated,MURPHY'S MILL POND,Surface Water Intake,0.00,2016,0.1,0
Mappsville Facility & Labor Housing,HOUSE #5 WELL,Well,0.00,2014,37.83694444,-75.5825
Lancaster Farms Incorporated,POND A   5800 KNOTTS NECK ROAD,Surface Water Intake,0.00,2016,0.1,0
WAYNESBORO NURSERIES,SPRUCE CREEK,Surface Water Intake,0.00,2016,37.885,-78.91277778
LAWRENCEVILLE SERVICE AREA,Great Creek,Surface Water Intake,261.42,2016,36.764,-77.869
Brink Concentrator Site System,TW-2,Well,0.52,2016,36.64933,-77.6263
"Brookmeade Sod Farm, Inc. ",S ANNA PUMP SITE 5 FIELD 15 F1,Surface Water Intake,2.33,2016,37.80805556,-77.54583333
NEW RIVER WTP,NEW RIVER,Surface Water Intake,2443.69,2016,37.1625,-80.55138889
EARLYSVILLE PLANT,WELL #5  GW RECOVERY,Well,0.00,2016,38.14305556,-78.49194444
BERRYVILLE WTP,SHENANDOAH RIVER,Surface Water Intake,132.98,2016,39.10361111,-77.92305556
BURKEVILLE SERVICE AREA,WELL #4,Well,0.00,2016,37.1925,-78.21666667
"CEDAR POINT CLUB, INC.",WELL,Well,0.20,2016,36.89972222,-76.48777778
BAY QUARTER SERVICE AREA,WELL #19 STORAGE TANK,Well,3.08,2015,37.97722222,-76.42972222
WOOLWINE PLANT,WELL #3,Well,0.54,2016,36.77508937,-80.26165996
EARLYSVILLE PLANT,WELL #4  GW RECOVERY,Well,0.56,2016,38.14305556,-78.49194444
EASTWOOD SERVICE AREA,EASTWOOD WELL #2,Well,1.13,2016,36.64349963,-79.81080294
FREDERICK COUNTY SANITATION AUTHORITY,STEPHENS CITY QUARRIES,Surface Water Intake,728.94,2016,39.09916667,-78.225
GLEBE HARBOUR SERVICE AREA,GLEBE WELL #17    CLUB,Well,8.29,2015,38.13055556,-76.65694444
DAVIDS NURSERY,DUG POND                    OK,Well,0.00,2016,37.53888889,-75.90555556
DAVIDS NURSERY,CONTAINER WELL #1,Well,1.12,2016,37.53194444,-75.90194444
WOODWARD TURF FARMS,RAPPAHANNOCK R - SUMERDUCK RD (Tharpe Farms),Surface Water Intake,11.10,2016,38.52555556,-77.81166667
"SAUNDERS BROTHERS, INC.",HAREWOOD SHOP WELL,Well,0.00,2016,37.73416667,-79.03277778
NATURAL BRIDGE,GATEHOUSE WELL BACKUP,Well,26.01,2016,37.62833333,-79.51083333
WOOLWINE PLANT,JACKS CREEK,Surface Water Intake,41.76,2016,36.77345442,-80.26556252
SOUTH HILL BANKS SERVICE AREA,WELL #27    STORAGE TANK,Well,1.25,2016,37.75833333,-76.71888889
GLENVAR PLANT,WELL #1   BOILER,Well,0.00,2016,37.273737,-80.127576
Bredimus Farm,POND,Surface Water Intake,0.00,2016,37.441627,-75.943877
"W.T. HOLLAND & SONS, INC",DUG POND FARLOW,Well,10.20,2016,0.1,0.1
CABIN POINT SERVICE AREA,CABIN POINT WELL #16,Well,5.94,2016,38.12138889,-76.66527778
VIENNA SERVICE AREA,WELL  #1,Well,0.00,2012,38.8975,-77.27833333
David's Nursery,PONDS COMBINED,Surface Water Intake,0.00,2016,0.1,0
DAVIDS NURSERY,WELL #8,Well,11.19,2016,37.52972222,-75.88944444
DAVIDS NURSERY,WELL #3,Well,0.00,2016,37.52833333,-75.90111111
DAVIDS NURSERY,WELL #1,Well,14.03,2016,37.53083333,-75.90305556
GWYNNFIELD SERVICE AREA,WELL #1A,Well,3.11,2015,37.97083333,-76.89722222
BOWEN FARM,DUG POND #1,Well,20.23,2016,37.53194444,-75.79305556
FRANKLIN MILL,WELL #13,Well,21.41,2016,36.71166667,-76.9075
RAPPAHANNOCK FARMS Sand & Gravel ,RAPPAHANNOCK RIVER,Surface Water Intake,179.55,2016,38.22861111,-77.21666667
MASSANUTTEN SERVICE AREA,WELL #20,Well,11.03,2016,38.410499,-78.7490332
FRANKLIN MILL,WELL #6A,Well,369.62,2016,36.65694444,-76.90027778
BENNIES RENTALS SHOP & MOTEL,SHOP WELL,Well,2.10,2016,37.35833333,-79.11305556
MARSHALL SERVICE AREA,SALEM WELL #4,Well,10.23,2016,38.88333333,-77.85555556
BURKEVILLE SERVICE AREA,WELL #1,Well,0.00,2016,37.19388889,-78.2125
FRANKLIN MILL,WELL #15,Well,376.21,2016,36.72361111,-76.90777778
BEALETON REGIONAL WATER SYSTEM,MILLER SCHOOL WELL,Well,36.68,2016,38.58777778,-77.76444444
JOHN N MILLS & SONS - 3 FARMS,FARM POND - HORN QUARTER 4&5,Surface Water Intake,11.47,2016,37.778748,-77.31147766
Independence Golf Club,POND,Surface Water Intake,55.48,2016,37.547287,-77.685717
ABERT WTP ,JAMES RIVER ,Surface Water Intake,46.01,2016,37.49416667,-79.22638889
Wessells/ Watkinson Farm,WESSELLS/WATKINSON IRR POND,Surface Water Intake,9.77,2016,37.75388889,-75.67944444
ENFIELD SOD - ENFIELD FARM,MATTAPONI RIVER  100 ACRES,Surface Water Intake,4.92,2016,0.1,0
Charles West Farm,Well,Well,0.00,2015,37.43319,-75.875853
Somerset,POND #12 Fairway/Green,Surface Water Intake,9.55,2016,0.1,0
Town of Montross,WELL #2,Well,9.68,2016,38.091806,-76.831444
Heritage Point Water Works,WELL #2A,Well,0.00,2016,37.73407715,-76.52281577
Heritage Point Water Works,WELL #1,Well,0.00,2016,37.72138889,-76.515
DAVID VAN DESSEL FARM,WELL #2,Well,0.00,2016,37.80138889,-75.63722222
ROBERT VAN DESSEL FARM,WELL #1,Well,0.00,2016,37.805,-75.62944444
ACE 1971 AND GIGI 1971 TRUST,POND #1,Well,0.00,2016,37.83583333,-75.53972222
VINTON SERVICE AREA,FALLING CR EST  WELL 1 TWIN MT,Well,0.00,2016,37.29722222,-79.86333333
NEW CASTLE WTP,WELL #3,Well,11.11,2016,37.5175,-80.08444444
EASTERN SHORE YACHT & CC,CLUBHOUSE WELL,Well,0.21,2016,37.65805556,-75.82527778
CHINCOTEAGUE SERVICE AREA,WELL #8,Well,30.79,2016,37.93555556,-75.46166667
CHINCOTEAGUE SERVICE AREA,WELL #3-C,Well,7.54,2016,37.94055556,-75.45694444
EASTVILLE SERVICE AREA,WELL 165-038 (MAIN WELL),Well,8.26,2016,37.35166667,-75.93916667
GUY PRODUCE FARMS,WELL #1,Well,0.00,2016,37.50277778,-75.87111111
Iron Gate Warehouse,LITHIA SPRING,Surface Water Intake,0.44,2016,37.80388889,-79.79305556
TWIN CEDAR FARMS,SEAVIEW POND,Well,3.30,2016,37.25083333,-75.95333333
APPOMATTOX PLANT,DEEP WELL,Well,0.00,2014,37.35916667,-78.83666667
PAINTER FARM,POND,Well,0.00,2016,37.58416667,-75.79083333
PAMPATIKE HILL FARM,DEEP WELL        250 FT,Well,0.00,2016,37.68277778,-77.12916667
BROADLEAF FARMS,WELL #3,Well,0.31,2016,37.70861111,-75.72888889
CHERRYSTONE CAMPGROUNDS,WELL #3  BATH HOUSE,Well,0.04,2016,37.29055556,-76.01361111
CLAREMONT WATER SYSTEM,RIVER ROAD WELL #3,Well,4.20,2016,37.2225,-76.95138889
CHERRYSTONE CAMPGROUNDS,WELL W10 - CLAM PROCESSING,Well,0.08,2016,37.28333333,-76.01083333
DEER LAKE ESTATES (COLONIAL HERITAGE),Deer Lake Estates,Surface Water Intake,26.02,2016,37.3439,-76.7917
BOONES MILL SERVICE AREA,SPRING #1,Well,5.10,2016,37.10777778,-79.97583333
CHERRYSTONE CAMPGROUNDS,WELL #2,Well,0.88,2016,37.28861111,-76.01194444
FLOYD SERVICE AREA,WELL #2,Well,7.85,2016,36.91333333,-80.30972222
YORKTOWN Terminal,YORK RIVER,Surface Water Intake,0.03,2016,37.22,-76.46361111
CATAWBA WTP,WATER TREATMENT PLANT SPRING,Surface Water Intake,6.70,2016,37.38833333,-80.09916667
NEW CASTLE WTP,WELL #2,Well,0.00,2016,37.48694444,-80.105
MADISON (TOWN) WTP,WHITE OAK LAKE,Surface Water Intake,0.00,2016,38.37861111,-78.27166667
ELKTON SERVICE AREA,WELL #1,Well,67.91,2016,38.41305556,-78.62138889
SUNSET BEACH RESORT HOTEL (FORMERLY BEST WESTERN),WELL #7,Well,0.01,2016,37.13833333,-75.97138889
CARROLL COUNTY REGIONAL,Carroll County Well #1,Well,30.12,2016,36.7625,-80.72916667
FLOYD SERVICE AREA,WELL #1,Well,7.37,2016,36.915,-80.31083333
CHATHAM PLANT,WELL #6,Well,0.02,2016,36.77694444,-79.41472222
SCOTTSBURG SERVICE AREA,WELL #2,Well,2.95,2016,36.78055556,-78.81166667
Busch Properties Incorporated Kingsmill,WAREHAM'S POND,Surface Water Intake,27.76,2016,37.22416667,-76.66194444
EASTERN SHORE NURSERY OF VA.,DUG POND 4 - Runway,Well,16.25,2016,37.6379581,-75.7702564
SCOTTSBURG SERVICE AREA,WELL #5,Well,0.65,2016,36.75694444,-78.79277778
MANASSAS WTP,LAKE MANASSAS - TRENT GC,Surface Water Intake,0.00,2016,38.76388889,-77.62361111
SCOTTSWOOD SERVICE AREA,WELL #4,Well,2.95,2016,36.70638889,-76.98166667
SCOTTSWOOD SERVICE AREA,WELL #2,Well,0.00,2016,36.70638889,-76.98138889
THE WATER FRONT SERVICE AREA,RIVERBAY WELL #2,Well,0.00,2016,37.09333333,-79.64416667
SUNSET BEACH RESORT HOTEL (FORMERLY BEST WESTERN),WELL #5,Well,0.30,2016,37.13555556,-75.96722222
VIRGILINA SERVICE AREA,WELL #2,Well,1.21,2016,36.54805556,-78.77555556
STUART WTP,WELL #2,Well,9.10,2016,36.63694444,-80.27388889
Princess Anne Country Club,POND WITHDRAWAL,Surface Water Intake,6.57,2016,36.865,-75.98833333
CENTRAL SYSTEM SERVICE AREA,BIG OTTER RIVER,Surface Water Intake,778.65,2016,37.20777778,-79.30111111
KINDERTON COUNTRY CLUB,CLUBHOUSE WELL,Well,0.00,2016,36.60833333,-78.54583333
HARD ACRES FARM,FARM POND #2 GLENWOOD NORTH,Surface Water Intake,0.00,2016,37.304444,-78.071389
BROOKNEAL WTP,PHELPS CREEK RESERVOIR,Surface Water Intake,44.91,2016,37.06777778,-78.95333333
PEDLAR RESERVOIR INTAKE,PEDLAR RESERVOIR,Surface Water Intake,3785.18,2016,37.66944444,-79.27777778
CULPEPER (TOWN) WTP,LAKE PELHAM,Surface Water Intake,759.49,2016,38.46888889,-78.01805556
COVINGTON PLANT WestRock,JACKSON RIVER UPPER & LOWER IN,Surface Water Intake,14160.19,2016,37.80166667,-79.99666667
Foundation Seed Farm,FARM POND  #3,Surface Water Intake,2.40,2016,38.0938702,-76.72971888
RIVERS EDGE SERVICE AREA,WELL #2  LIVERMAN,Well,1.96,2016,37.275,-77.20277778
COUNTRY CLUB OF VIRGINIA,WESTHAMPTON GC WELL,Well,4.48,2016,37.56972222,-77.52861111
LUKE PREPARATION PLANT,WELL #1,Well,14.50,2016,37.44083333,-82.04527778
LIBRARY OF CONGRESS - PACKARD CAMPUS AUDIO VISUAL CONSERVATION,WELL #2,Well,10.23,2016,38.4412,-77.974283
COUNTRY CLUB OF VIRGINIA,JRC KANAWHA CANAL,Surface Water Intake,0.00,2016,37.56388889,-77.61888889
